Splay Tree,0.0479ms, 0.5452ms, 6.7287ms, 139.645ms, 0.05ms, 0.0219ms, 0.3311ms, 5.3722ms, 75.3012ms, 0.0208ms, 0.2852ms, 5.0352ms, 72.3494ms, 0.0435ms, 0.5968ms, 9.9293ms, 158.148ms, 3366.21ms, 0.1421ms, 0.1725ms, 1.8136ms, 20.5599ms, 0.0193ms, 0.1761ms, 1.7728ms, 20.1962ms, 0.0209ms, 0.1756ms, 1.8987ms, 19.5997ms
Skip List,0.1096ms, 0.9519ms, 13.9366ms, 183.027ms, 0.1135ms, 0.0575ms, 0.601ms, 7.1311ms, 110.859ms, 0.059ms, 0.6116ms, 7.4156ms, 103.975ms, 0.1692ms, 1.3937ms, 17.1449ms, 290.523ms, 4903.16ms, 0.1182ms, 1.5524ms, 11.5209ms, 126.988ms, 0.094ms, 1.0003ms, 9.8767ms, 111.437ms, 0.0602ms, 0.56ms, 6.4802ms, 82.3008ms
Binary Tree,0.0683ms, 0.2947ms, 4.2291ms, 94.4514ms, 0.0306ms, 0.0206ms, 0.4539ms, 2.707ms, 41.649ms, 0.0157ms, 0.1575ms, 2.2903ms, 37.6163ms, 0.0265ms, 0.6101ms, 4.7701ms, 78.1512ms, 1653.27ms, 0.0423ms, 2.9422ms, 597.316ms, 85977.7ms, 0.0365ms, 2.5664ms, 575.648ms, 95239.4ms, 0.0192ms, 0.1672ms, 1.6653ms, 17.8517ms
RBTreeResults.csv,0.0439ms, 0.3961ms, 5.1145ms, 85.4668ms, 0.0588ms, 0.0278ms, 0.2848ms, 3.0957ms, 48.0138ms, 0.0205ms, 0.208ms, 3.5662ms, 42.5421ms, 0.0365ms, 0.5498ms, 5.8608ms, 104.873ms, 1880.06ms, 0.0342ms, 0.3135ms, 3.8591ms, 51.7638ms, 0.0312ms, 0.282ms, 3.0968ms, 47.2563ms, 0.0223ms, 0.1833ms, 2.1075ms, 19.2022ms

Splay Tree,0.0455ms, 0.5474ms, 6.7876ms, 137.578ms, 0.0399ms, 0.0187ms, 0.2359ms, 3.7066ms, 74.8641ms, 0.0199ms, 0.3024ms, 4.6754ms, 76.6198ms, 0.0443ms, 0.5918ms, 9.8609ms, 198.042ms, 3394.82ms, 0.1245ms, 0.2029ms, 1.7869ms, 20.758ms, 0.0196ms, 0.1709ms, 1.7681ms, 22.0187ms, 0.0191ms, 0.1747ms, 1.8277ms, 19.9151ms
Skip List,0.1154ms, 0.9632ms, 12.8926ms, 186.152ms, 0.1135ms, 0.0861ms, 0.5749ms, 7.2901ms, 107.74ms, 0.0572ms, 0.5876ms, 9.3087ms, 107.565ms, 0.109ms, 1.2168ms, 16.271ms, 236.814ms, 4863.12ms, 0.1161ms, 1.1484ms, 11.4976ms, 130.33ms, 0.1259ms, 0.9441ms, 9.6281ms, 102.984ms, 0.0625ms, 0.575ms, 6.5ms, 80.2559ms
Binary Tree,0.0622ms, 0.8463ms, 4.1577ms, 68.2702ms, 0.0315ms, 0.0179ms, 0.1987ms, 2.7815ms, 40.7221ms, 0.0158ms, 0.1585ms, 2.2831ms, 35.1065ms, 0.0275ms, 0.4261ms, 6.9508ms, 77.8095ms, 1983.24ms, 0.036ms, 3.4346ms, 564.614ms, 90218.3ms, 0.037ms, 2.3107ms, 562.625ms, 93047.8ms, 0.0195ms, 0.1691ms, 1.6787ms, 15.1612ms
RBTreeResults.csv,0.0407ms, 1.3773ms, 5.4615ms, 107.525ms, 0.0526ms, 0.0293ms, 0.2809ms, 3.1171ms, 44.4215ms, 0.02ms, 0.2252ms, 4.4358ms, 42.0667ms, 0.0738ms, 0.5414ms, 6.863ms, 104.947ms, 1934.48ms, 0.0315ms, 0.317ms, 3.8684ms, 53.8179ms, 0.0315ms, 0.2808ms, 3.3329ms, 45.2296ms, 0.0219ms, 0.1857ms, 1.8051ms, 20.9338ms

